City,State, Median Sale Price 
RANCHO CUCAMONGA,CA,"$505,341.67 "
CAPE CORAL,FL,"$218,950.00 "
SAVANNAH,GA,"$167,458.33 "
FREDERICKSBURG,VA,"$277,791.67 "
KILLEEN,TX,"$126,641.67 "
PALMDALE,CA,"$301,116.67 "
ROANOKE,VA,"$147,966.67 "
NEWPORT NEWS,VA,"$171,170.00 "
EL CAJON,CA,"$481,475.00 "
CLARKSVILLE,TN,"$157,191.67 "
ELK GROVE,CA,"$426,300.00 "
PEORIA,AZ,"$254,508.33 "
NAPERVILLE,IL,"$350,475.00 "
FAIRFAX,VA,"$513,966.67 "
BOYNTON BEACH,FL,"$238,491.67 "
TOPEKA,KS,"$131,458.33 "
MCKINNEY,TX,"$305,658.33 "
LAFAYETTE,LA,"$166,891.67 "
PEMBROKE PINES,FL,"$267,233.33 "
EDMOND,OK,"$216,483.33 "
LAKELAND,FL,"$151,116.67 "
PUEBLO,CO,"$165,108.33 "
SPRINGFIELD,MA,"$148,283.33 "
HENRICO,VA,"$245,983.33 "
LAKEWOOD,CO,"$371,316.67 "
CUMMING,GA,"$307,133.33 "
ALEXANDRIA,VA,"$510,558.33 "
TYLER,TX,"$177,075.00 "
POMONA,CA,"$419,275.00 "
VISALIA,CA,"$243,308.33 "
CYPRESS,TX,"$250,583.33 "
ROUND ROCK,TX,"$268,458.33 "
ANN ARBOR,MI,"$342,408.33 "
WHITTIER,CA,"$518,125.00 "
KANSAS CITY,KS,"$118,966.67 "
SUNNYVALE,CA,"$1,541,225.00 "
HOLLYWOOD,FL,"$249,191.67 "
CONROE,TX,"$217,858.33 "
LANSING,MI,"$86,916.67 "
CARY,NC,"$335,733.33 "
PATERSON,NJ,"$197,241.67 "
YUMA,AZ,"$168,766.67 "
FRISCO,TX,"$375,483.33 "
PASADENA,CA,"$789,150.00 "
BRIDGEPORT,CT,"$154,833.33 "
MACON,GA,"$98,025.00 "
CANTON,OH,"$94,816.67 "
NEWARK,DE,"$223,016.67 "
RENTON,WA,"$447,650.00 "
METAIRIE,LA,"$227,466.67 "
SANTA MARIA,CA,"$387,683.33 "
TORRANCE,CA,"$768,933.33 "
CLEARWATER,FL,"$193,483.33 "
FULLERTON,CA,"$619,058.33 "
ORANGE,CA,"$670,858.33 "
COMPTON,CA,"$389,316.67 "
HAMPTON,VA,"$155,783.33 "
BELLEVUE,WA,"$868,983.33 "
INGLEWOOD,CA,"$498,158.33 "
KENT,WA,"$390,391.67 "
WEST VALLEY CITY,UT,"$271,866.67 "
OLATHE,KS,"$266,033.33 "
WARREN,MI,"$118,666.67 "
MIRAMAR,FL,"$288,958.33 "
THORNTON,CO,"$354,791.67 "
CONCORD,CA,"$560,583.33 "
BLOOMINGTON,IN,"$190,783.33 "
BOULDER,CO,"$699,125.00 "
RAMAPO,NY,"$455,975.00 "
CARROLLTON,TX,"$279,225.00 "
CORAL SPRINGS,FL,"$339,391.67 "
THOUSAND OAKS,CA,"$713,991.67 "
VICTORVILLE,CA,"$248,091.67 "
ROSEVILLE,CA,"$449,058.33 "
SURPRISE,AZ,"$230,533.33 "
NEW HAVEN,CT,"$162,841.67 "
HAMILTON,OH,"$146,100.00 "
SIMI VALLEY,CA,"$560,783.33 "
STAMFORD,CT,"$440,000.00 "
PEARLAND,TX,"$253,916.67 "
DENTON,TX,"$236,866.67 "
GAINESVILLE,GA,"$195,166.67 "
SPRINGFIELD,IL,"$114,166.67 "
ALLENTOWN,PA,"$115,716.67 "
LAKE CHARLES,LA,"$181,741.67 "
FREDERICK,MD,"$268,925.00 "
MURRIETA,CA,"$422,241.67 "
TEMECULA,CA,"$458,158.33 "
HEMET,CA,"$258,450.00 "
EAST LOS ANGELES,CA,"$435,533.33 "
JOLIET,IL,"$149,400.00 "
VALLEJO,CA,"$389,825.00 "
SANTA CLARA,CA,"$1,281,625.00 "
AMHERST,NY,"$216,741.67 "
ATHENS,GA,"$174,725.00 "
FALLS CHURCH,VA,"$500,225.00 "
NORMAN,OK,"$157,316.67 "
NAMPA,ID,"$201,625.00 "
BERKELEY,CA,"$1,138,708.33 "
WESTMINSTER,CO,"$359,616.67 "
ROCHESTER,MN,"$210,983.33 "
CLOVIS,CA,"$330,116.67 "
VISTA,CA,"$525,233.33 "
BROKEN ARROW,OK,"$167,233.33 "
RICHMOND,CA,"$508,900.00 "
ARVADA,CO,"$407,958.33 "
CHARLOTTESVILLE,VA,"$314,116.67 "
INDEPENDENCE,MO,"$122,258.33 "
TUSCALOOSA,AL,"$160,900.00 "
NEW PORT RICHEY,FL,"$154,000.00 "
SPARTANBURG,SC,"$113,416.67 "
BELLINGHAM,WA,"$385,266.67 "
MELBOURNE,FL,"$206,766.67 "
COSTA MESA,CA,"$809,133.33 "
SPARKS,NV,"$331,775.00 "
BEND,OR,"$421,991.67 "
EL MONTE,CA,"$506,158.33 "
MIAMI GARDENS,FL,"$214,475.00 "
DOWNEY,CA,"$559,741.67 "
TRACY,CA,"$494,400.00 "
VENTURA,CA,"$578,675.00 "
NORTH CHARLESTON,SC,"$176,016.67 "
WEST COVINA,CA,"$547,360.00 "
ROCK HILL,SC,"$174,058.33 "
YAKIMA,WA,"$224,733.33 "
REDDING,CA,"$264,416.67 "
SAINT AUGUSTINE,FL,"$224,458.33 "
DELRAY BEACH,FL,"$180,925.00 "
LOWELL,MA,"$248,466.67 "
WATERBURY,CT,"$101,991.67 "
WEST PALM BEACH,FL,"$212,800.00 "
CARLSBAD,CA,"$836,158.33 "
ELGIN,IL,"$187,366.67 "
SANTA BARBARA,CA,"$1,060,583.33 "
LAUREL,MD,"$305,583.33 "
FARGO,ND,"$212,008.33 "
WEST JORDAN,UT,"$318,583.33 "
GREENVILLE,NC,"$142,133.33 "
MANASSAS,VA,"$332,283.33 "
HILLSBORO,OR,"$359,541.67 "
GREEN BAY,WI,"$132,300.00 "
PALM BAY,FL,"$164,558.33 "
NORWALK,CA,"$467,575.00 "
VERO BEACH,FL,"$206,466.67 "
PEORIA,IL,"$117,566.67 "
CENTENNIAL,CO,"$424,350.00 "
DOUGLASVILLE,GA,"$160,250.00 "
ANTIOCH,CA,"$423,125.00 "
PERRIS,CA,"$312,458.33 "
SPRINGFIELD,VA,"$466,208.33 "
FAIRFIELD,CA,"$435,791.67 "
LEHIGH ACRES,FL,"$161,000.00 "
EVERETT,WA,"$349,791.67 "
ERIE,PA,"$82,750.00 "
POMPANO BEACH,FL,"$196,225.00 "
SAN LEANDRO,CA,"$649,025.00 "
BURBANK,CA,"$765,966.67 "
VACAVILLE,CA,"$438,450.00 "
MADERA,CA,"$240,963.64 "
ALBANY,NY,"$180,358.33 "
GRAND JUNCTION,CO,"$230,308.33 "
HESPERIA,CA,"$262,641.67 "
JACKSON,MI,"$104,833.33 "
THE WOODLANDS,TX,"$330,100.00 "
SAN MATEO,CA,"$1,291,833.33 "
EDISON,NJ,"$335,166.67 "
FRANKLIN,TN,"$451,508.33 "
MERCED,CA,"$244,425.00 "
SANTA CRUZ,CA,"$866,558.33 "
LEXINGTON,SC,"$170,916.67 "
CHAPEL HILL,NC,"$359,183.33 "
KENNESAW,GA,"$223,433.33 "
WOODBRIDGE,NJ,"$279,108.33 "
CLINTON,MI,"$152,375.00 "
ELKHART,IN,"$140,208.33 "
DALY CITY,CA,"$935,333.33 "
RIALTO,CA,"$350,008.33 "
DAVIE,FL,"$293,616.67 "
COLUMBIA,MD,"$322,350.00 "
MERIDIAN,ID,"$290,958.33 "
LAWRENCE,KS,"$202,958.33 "
HIGHLANDS RANCH,CO,"$475,041.67 "
LYNCHBURG,VA,"$148,925.00 "
