City,State, Median Sale Price 
LA HABRA,CA,"$535,091.67 "
BURNSVILLE,MN,"$255,300.00 "
LAND O LAKES,FL,"$245,133.33 "
GROVE CITY,OH,"$181,191.67 "
MECHANICSVILLE,VA,"$265,866.67 "
PRESCOTT,AZ,"$353,925.00 "
MONTEREY PARK,CA,"$607,220.00 "
ALBANY,OR,"$254,450.00 "
VINELAND,NJ,"$139,958.33 "
FLORENCE,SC,"$142,366.67 "
WEST DES MOINES,IA,"$218,841.67 "
UTICA,NY,"$104,133.33 "
GILROY,CA,"$769,733.33 "
LANCASTER,OH,"$136,458.33 "
WEST CHESTER,OH,"$235,225.00 "
HENDERSONVILLE,NC,"$246,833.33 "
JANESVILLE,WI,"$147,875.00 "
MALDEN,MA,"$428,816.67 "
WEST ALLIS,WI,"$142,958.33 "
CASTLE ROCK,CO,"$449,141.67 "
TAYLORSVILLE,UT,"$284,083.33 "
STUART,FL,"$204,850.00 "
BRISTOL,CT,"$164,775.00 "
RICHMOND,KY,"$164,958.33 "
NATIONAL CITY,CA,"$423,191.67 "
LEBANON,TN,"$245,066.67 "
AZUSA,CA,"$449,791.67 "
GARDENA,CA,"$522,700.00 "
ANNANDALE,VA,"$509,633.33 "
KENDALE LAKES,FL,"$234,208.33 "
SAMMAMISH,WA,"$901,308.33 "
FAIRFIELD,CT,"$558,433.33 "
CARROLLTON,GA,"$141,816.67 "
MERIDEN,CT,"$152,333.33 "
CUPERTINO,CA,"$2,131,350.00 "
MARTINSBURG,WV,"$166,600.00 "
CARMICHAEL,CA,"$389,250.00 "
BROOKLINE,MA,"$891,491.67 "
HUNTERSVILLE,NC,"$295,566.67 "
CLAYTON,NC,"$206,966.67 "
LUTZ,FL,"$268,116.67 "
ROYAL OAK,MI,"$232,975.00 "
SAINT PETERS,MO,"$184,541.67 "
TEXARKANA,TX,"$152,975.00 "
ALEXANDRIA,LA,"$147,558.33 "
LOMPOC,CA,"$346,741.67 "
TAMIAMI,FL,"$322,316.67 "
WHEATON,IL,"$327,391.67 "
OLYMPIA,WA,"$313,491.67 "
HEMPSTEAD,NY,"$321,750.00 "
MANCHESTER,CT,"$174,608.33 "
HOWELL,MI,"$239,941.67 "
MEDFORD,MA,"$544,125.00 "
GREENSBURG,PA,"$146,383.33 "
BARTLETT,TN,"$198,066.67 "
WHITE PLAINS,NY,"$683,783.33 "
WINTER HAVEN,FL,"$161,900.00 "
GRAND FORKS,ND,"$207,188.89 "
BAYONNE,NJ,"$364,658.33 "
GRETNA,LA,"$157,258.33 "
COLUMBIA,TN,"$174,258.33 "
PISCATAWAY,NJ,"$300,125.00 "
DOWNERS GROVE,IL,"$309,700.00 "
FOUNTAIN VALLEY,CA,"$764,241.67 "
ALTAMONTE SPRINGS,FL,"$154,058.33 "
COCONUT CREEK,FL,"$175,000.00 "
GOSHEN,IN,"$162,391.67 "
KETTERING,OH,"$132,025.00 "
MIDWEST CITY,OK,"$101,691.67 "
LEHI,UT,"$354,991.67 "
ABINGTON,PA,"$272,658.33 "
BERWYN,IL,"$202,558.33 "
DEARBORN HEIGHTS,MI,"$116,275.00 "
COLTON,CA,"$290,416.67 "
CROWN POINT,IN,"$212,500.00 "
TAUNTON,MA,"$270,466.67 "
MOORE,OK,"$133,633.33 "
PADUCAH,KY,"$131,858.33 "
GLENVIEW,IL,"$435,758.33 "
CHICOPEE,MA,"$170,316.67 "
NEW BRUNSWICK,NJ,"$196,208.33 "
GOOSE CREEK,SC,"$182,508.33 "
TITUSVILLE,FL,"$149,325.00 "
MARICOPA,AZ,"$186,708.33 "
JACKSON,NJ,"$330,758.33 "
LOGANVILLE,GA,"$200,441.67 "
TIGARD,OR,"$424,741.67 "
MOUNT PROSPECT,IL,"$280,050.00 "
PORT ORCHARD,WA,"$311,333.33 "
BLACKSBURG,VA,"$283,350.00 "
EL CENTRO,CA,"$238,666.67 "
BENSALEM,PA,"$245,216.67 "
MARGATE,FL,"$177,191.67 "
WAYNE,NJ,"$410,166.67 "
BUFORD,GA,"$244,400.00 "
SANTEE,CA,"$486,283.33 "
WEYMOUTH,MA,"$350,300.00 "
OREGON CITY,OR,"$398,441.67 "
ASHEBORO,NC,"$123,391.67 "
CHANTILLY,VA,"$477,316.67 "
MCLEAN,VA,"$834,300.00 "
PARAMOUNT,CA,"$359,141.67 "
MINOT,ND,"$202,800.00 "
FORT WALTON BEACH,FL,"$193,675.00 "
GRAND ISLAND,NE,"$150,100.00 "
MORRISTOWN,TN,"$129,983.33 "
LAGRANGE,GA,"$133,108.33 "
EULESS,TX,"$228,075.00 "
MORGANTON,NC,"$141,008.33 "
WYOMING,MI,"$144,691.67 "
FINDLAY,OH,"$157,083.33 "
RICHLAND,WA,"$296,466.67 "
LACEY,WA,"$285,566.67 "
NOVI,MI,"$286,591.67 "
GLENDORA,CA,"$585,700.00 "
DANVILLE,CA,"$1,258,341.67 "
PALM DESERT,CA,"$330,133.33 "
THE HAMMOCKS,FL,"$282,616.67 "
BONITA SPRINGS,FL,"$310,050.00 "
LONGWOOD,FL,"$268,958.33 "
DELANO,CA,"$197,341.67 "
CASTRO VALLEY,CA,"$820,741.67 "
HAMBURG,NY,"$175,508.33 "
LAKE HAVASU CITY,AZ,"$253,775.00 "
KALISPELL,MT,"$282,175.00 "
LINCOLN,CA,"$445,125.00 "
HACIENDA HEIGHTS,CA,"$612,600.00 "
OWINGS MILLS,MD,"$246,216.67 "
BUCKEYE,AZ,"$208,633.33 "
LENEXA,KS,"$310,033.33 "
KLAMATH FALLS,OR,"$169,700.00 "
CHESTERFIELD,VA,"$255,591.67 "
MIDDLEBURG,FL,"$174,008.33 "
HOBOKEN,NJ,"$696,916.67 "
WEST SACRAMENTO,CA,"$369,341.67 "
ORMOND BEACH,FL,"$224,625.00 "
CLARKSTOWN,NY,"$385,908.33 "
SHORELINE,WA,"$575,191.67 "
DELAWARE,OH,"$233,000.00 "
ATHENS,AL,"$143,640.00 "
YUCAIPA,CA,"$367,233.33 "
COVINGTON,LA,"$222,181.82 "
CROSSVILLE,TN,"$151,866.67 "
WEST HAVEN,CT,"$167,558.33 "
EAST LANSING,MI,"$182,300.00 "
SMYRNA,TN,"$211,633.33 "
PUYALLUP,WA,"$333,116.67 "
MORGANTOWN,WV,"$195,758.33 "
OROVILLE,CA,"$204,750.00 "
MILILANI,HI,"$498,960.00 "
TWIN FALLS,ID,"$192,816.67 "
CLERMONT,FL,"$251,783.33 "
WEST NEW YORK,NJ,"$469,708.33 "
BINGHAMTON,NY,"$91,891.67 "
APACHE JUNCTION,AZ,"$195,075.00 "
NORMAL,IL,"$154,516.67 "
LOMBARD,IL,"$228,441.67 "
MILLCREEK,PA,"$164,175.00 "
FLORISSANT,MO,"$89,450.00 "
UPPER DARBY,PA,"$91,433.33 "
OAK PARK,IL,"$302,266.67 "
DECATUR,GA,"$365,125.00 "
LAKE CITY,FL,"$143,066.67 "
PEABODY,MA,"$405,475.00 "
HOWELL,NJ,"$329,058.33 "
KENTWOOD,MI,"$182,741.67 "
LEVITTOWN,PA,"$221,425.00 "
DACULA,GA,"$249,325.00 "
TINLEY PARK,IL,"$193,075.00 "
ANKENY,IA,"$215,808.33 "
LANCASTER,SC,"$129,541.67 "
STRATFORD,CT,"$239,308.33 "
KINGMAN,AZ,"$145,508.33 "
PLACENTIA,CA,"$658,150.00 "
SEBRING,FL,"$129,033.33 "
MANKATO,MN,"$179,966.67 "
MASSAPEQUA,NY,"$479,441.67 "
HOLLISTER,CA,"$557,700.00 "
SEMINOLE,FL,"$219,233.33 "
POWAY,CA,"$720,933.33 "
BROOKHAVEN,GA,"$465,283.33 "
NORTH FORT MYERS,FL,"$178,425.00 "
GREENWOOD,SC,"$113,491.67 "
DORAL,FL,"$306,000.00 "
IRONDEQUOIT,NY,"$124,066.67 "
WEST MONROE,LA,"$162,308.33 "
MARRERO,LA,"$139,191.67 "
SOUTH HILL,WA,"$329,825.00 "
CUYAHOGA FALLS,OH,"$125,016.67 "
GARNER,NC,"$207,700.00 "
HUTCHINSON,KS,"$117,950.00 "
COOKEVILLE,TN,"$163,566.67 "
APPLE VALLEY,MN,"$257,458.33 "
FRANKFORT,KY,"$131,666.67 "
BENTONVILLE,AR,"$232,425.00 "
BELLEVILLE,IL,"$85,191.67 "
EAST HARTFORD,CT,"$152,466.67 "
SHEBOYGAN,WI,"$130,783.33 "
COMMERCE CITY,CO,"$353,450.00 "
KAILUA,HI,"$1,046,116.67 "
PLYMOUTH,MA,"$351,591.67 "
NORTH BETHESDA,MD,"$447,641.67 "
SIERRA VISTA,AZ,"$173,275.00 "
GRAPEVINE,TX,"$339,750.00 "
FALLBROOK,CA,"$557,966.67 "
EDINA,MN,"$407,966.67 "
CORAL GABLES,FL,"$650,800.00 "
CATHEDRAL CITY,CA,"$279,616.67 "
TROY,NY,"$132,475.00 "
WAXAHACHIE,TX,"$218,341.67 "
PALM SPRINGS,CA,"$358,716.67 "
PERTH AMBOY,NJ,"$232,625.00 "
LITTLE ELM,TX,"$277,883.33 "
LA MIRADA,CA,"$575,883.33 "
CYPRESS,CA,"$658,691.67 "
MOUNT JULIET,TN,"$310,775.00 "
MILFORD,CT,"$275,108.33 "
CERRITOS,CA,"$708,891.67 "
PARSIPPANY-TROY HILLS,NJ,"$411,150.00 "
EASTVALE,CA,"$571,483.33 "
SAN JACINTO,CA,"$279,700.00 "
ALISO VIEJO,CA,"$576,400.00 "
MOUNT PLEASANT,MI,"$130,591.67 "
MILWAUKIE,OR,"$351,566.67 "
METHUEN,MA,"$315,866.67 "
CEDAR HILL,TX,"$203,033.33 "
BURLINGTON,NC,"$121,408.33 "
HOFFMAN ESTATES,IL,"$245,966.67 "
MARTINEZ,CA,"$585,641.67 "
KANEOHE,HI,"$731,033.33 "
DUBLIN,CA,"$875,433.33 "
FLORENCE,KY,"$153,066.67 "
ROSEBURG,OR,"$212,800.00 "
PARKERSBURG,WV,"$96,033.33 "
HIGHLAND,CA,"$333,350.00 "
BEDFORD,TX,"$245,241.67 "
CLAREMORE,OK,"$146,308.33 "
KANNAPOLIS,NC,"$136,425.00 "
CRESTVIEW,FL,"$172,391.67 "
ELMIRA,NY,"$80,525.00 "
LONGVIEW,WA,"$223,300.00 "
PORTAGE,MI,"$166,225.00 "
POTOMAC,MD,"$940,875.00 "
FORT WASHINGTON,MD,"$293,125.00 "
GRAND BLANC,MI,"$171,833.33 "
DRAPER,UT,"$446,633.33 "
MURRAY,UT,"$277,675.00 "
LITTLETON,CO,"$438,658.33 "
CARTERSVILLE,GA,"$164,975.00 "
FREEHOLD,NJ,"$325,708.33 "
SAN TAN VALLEY,AZ,"$203,708.33 "
KERNERSVILLE,NC,"$167,425.00 "
ROWLETT,TX,"$246,800.00 "
MIDDLETOWN,CT,"$170,741.67 "
HAMMOND,LA,"$163,308.33 "
MORGAN HILL,CA,"$919,500.00 "
SAINT LOUIS PARK,MN,"$281,358.33 "
WAUWATOSA,WI,"$238,075.00 "
COLLIERVILLE,TN,"$326,916.67 "
ROSEVILLE,MI,"$90,233.33 "
SPANAWAY,WA,"$289,583.33 "
MINNETONKA,MN,"$322,575.00 "
BURIEN,WA,"$423,325.00 "
REDFORD,MI,"$91,333.33 "
ZEPHYRHILLS,FL,"$146,116.67 "
ELMHURST,IL,"$376,108.33 "
CHESTER,VA,"$221,833.33 "
DUNWOODY,GA,"$410,250.00 "
WEST ORANGE,NJ,"$380,691.67 "
MOUNT VERNON,WA,"$322,708.33 "
EUREKA,CA,"$274,491.67 "
BRIGHTON,MI,"$261,900.00 "
HINESVILLE,GA,"$111,483.33 "
LONDON,KY,"$137,983.33 "
DEKALB,IL,"$141,533.33 "
GALLATIN,TN,"$251,233.33 "
PERINTON,NY,"$206,408.33 "
CLARKSTON,MI,"$257,616.67 "
BONNEY LAKE,WA,"$401,258.33 "
LAKEWOOD,OH,"$168,191.67 "
EAST BRUNSWICK,NJ,"$322,608.33 "
BREA,CA,"$696,258.33 "
WYLIE,TX,"$255,333.33 "
AUBURN,CA,"$455,441.67 "
BLOOMFIELD HILLS,MI,"$398,116.67 "
PORT RICHEY,FL,"$112,725.00 "
KAPOLEI,HI,"$592,833.33 "
EVANS,GA,"$257,158.33 "
THIBODAUX,LA,"$178,025.00 "
EVESHAM,NJ,"$229,758.33 "
SOUTHAVEN,MS,"$159,391.67 "
KATY,TX,"$299,925.00 "
FUQUAY VARINA,NC,"$247,808.33 "
DESERT HOT SPRINGS,CA,"$205,833.33 "
YORKTOWN,VA,"$297,566.67 "
SEGUIN,TX,"$205,733.33 "
BLUE SPRINGS,MO,"$179,283.33 "
JONESBORO,GA,"$108,675.00 "
SHAKOPEE,MN,"$246,875.00 "
WEST SENECA,NY,"$154,475.00 "
ENID,OK,"$116,850.00 "
CLEVELAND HEIGHTS,OH,"$94,816.67 "
SOUTH BRUNSWICK,NJ,"$351,958.33 "
BRIDGEWATER,NJ,"$415,550.00 "
BEAVERCREEK,OH,"$198,041.67 "
GRASS VALLEY,CA,"$394,125.00 "
BEAUMONT,CA,"$328,191.67 "
WALLINGFORD,CT,"$232,441.67 "
THOMASVILLE,NC,"$124,000.00 "
MANDEVILLE,LA,"$257,436.36 "
MOLINE,IL,"$108,691.67 "
EVERETT,MA,"$416,925.00 "
ARLINGTON,MA,"$678,666.67 "
COUNTRY CLUB,FL,"$207,283.33 "
LAKE STEVENS,WA,"$392,800.00 "
GEORGETOWN,KY,"$190,791.67 "
BARNSTABLE,MA,"$360,825.00 "
PATCHOGUE,NY,"$314,033.33 "
AUSTELL,GA,"$149,483.33 "
COACHELLA,CA,"$248,558.33 "
ROWLAND HEIGHTS,CA,"$638,475.00 "
PRESCOTT VALLEY,AZ,"$267,116.67 "
FAIRFIELD,OH,"$148,600.00 "
ENFIELD,CT,"$181,208.33 "
CHESTERFIELD,MI,"$197,366.67 "
LAKESIDE,CA,"$486,833.33 "
ELKTON,MD,"$208,075.00 "
BURKE,VA,"$477,308.33 "
HACKENSACK,NJ,"$250,491.67 "
ATTLEBORO,MA,"$293,658.33 "
NEWARK,CA,"$907,025.00 "
CUMBERLAND,MD,"$78,741.67 "
GIG HARBOR,WA,"$471,450.00 "
WEBSTER,NY,"$191,525.00 "
EUCLID,OH,"$63,891.67 "
NICHOLASVILLE,KY,"$170,275.00 "
LINDENHURST,NY,"$349,883.33 "
PINE HILLS,FL,"$138,066.67 "
WINTER SPRINGS,FL,"$253,983.33 "
MANHEIM,PA,"$233,275.00 "
FREEPORT,NY,"$361,083.33 "
PITTSFIELD,MA,"$163,675.00 "
SOUTHINGTON,CT,"$254,316.67 "
HENRIETTA,NY,"$148,641.67 "
KENT,OH,"$151,858.33 "
OAKLAND PARK,FL,"$202,583.33 "
OKEECHOBEE,FL,"$141,941.67 "
SAYREVILLE,NJ,"$276,541.67 "
WINDSOR MILL,MD,"$193,033.33 "
WOOSTER,OH,"$151,466.67 "
FAIR OAKS,CA,"$421,383.33 "
BRUNSWICK,OH,"$180,733.33 "
MONROVIA,CA,"$684,016.67 "
PRAIRIEVILLE,LA,"$238,208.33 "
BRENTWOOD,TN,"$657,741.67 "
WALLA WALLA,WA,"$228,233.33 "
COVINGTON,KY,"$101,883.33 "
RANCHO SANTA MARGARITA,CA,"$585,990.91 "
CONCORD,NH,"$225,408.33 "
PEACHTREE CORNERS,GA,"$313,958.33 "
CHESTERFIELD,MO,"$360,016.67 "
LAKE OSWEGO,OR,"$588,033.33 "
BELOIT,WI,"$89,116.67 "
HICKSVILLE,NY,"$464,808.33 "
CAMPBELL,CA,"$1,351,508.33 "
LAKE MARY,FL,"$289,725.00 "
RAEFORD,NC,"$152,200.00 "
RUSSELLVILLE,AR,"$133,675.00 "
PENN HILLS,PA,"$84,225.00 "
ARLINGTON,WA,"$369,208.33 "
CUTLER BAY,FL,"$280,233.33 "
WENATCHEE,WA,"$274,625.00 "
ROCKLEDGE,FL,"$247,808.33 "
CAROL STREAM,IL,"$232,325.00 "
OSWEGO,IL,"$239,416.67 "
BILLERICA,MA,"$398,958.33 "
KELLER,TX,"$396,291.67 "
KEARNY,NJ,"$320,891.67 "
MARTINEZ,GA,"$162,666.67 "
CRYSTAL LAKE,IL,"$202,933.33 "
MT LAUREL,NJ,"$222,141.67 "
MENLO PARK,CA,"$2,098,008.33 "
GREENEVILLE,TN,"$114,683.33 "
SAN BRUNO,CA,"$923,991.67 "
FENTON,MO,"$217,691.67 "
MERRITT ISLAND,FL,"$263,150.00 "
PEKIN,IL,"$85,183.33 "
WINDER,GA,"$167,200.00 "
WESTFIELD,MA,"$210,800.00 "
NORTH LAUDERDALE,FL,"$175,625.00 "
URBANDALE,IA,"$235,791.67 "
LIVERPOOL,NY,"$150,575.00 "
WOONSOCKET,RI,"$176,966.67 "
LEVITTOWN,NY,"$419,683.33 "
BEAR,DE,"$249,183.33 "
HUDSON,FL,"$156,900.00 "
BARTLESVILLE,OK,"$116,950.00 "
SHELTON,CT,"$309,925.00 "
NORTHVILLE,MI,"$374,166.67 "
NORTH BRUNSWICK,NJ,"$253,783.33 "
ADDISON,IL,"$229,083.33 "
FITCHBURG,MA,"$195,800.00 "
GONZALES,LA,"$214,533.33 "
LOCKPORT,NY,"$109,025.00 "
LEOMINSTER,MA,"$234,550.00 "
FRANKLIN,NJ,"$301,166.67 "
PASO ROBLES,CA,"$476,125.00 "
SAN PABLO,CA,"$436,675.00 "
BLUFFTON,SC,"$271,758.33 "
MOSES LAKE,WA,"$202,825.00 "
NORTH MIAMI BEACH,FL,"$205,408.33 "
LA PUENTE,CA,"$446,808.33 "
MARLBORO,NJ,"$463,266.67 "
ESSEX,MD,"$167,000.00 "
BULLHEAD CITY,AZ,"$191,416.67 "
AIEA,HI,"$449,741.67 "
TEANECK,NJ,"$383,716.67 "
PAINESVILLE,OH,"$127,150.00 "
HOLYOKE,MA,"$187,533.33 "
CERES,CA,"$286,775.00 "
ELMONT,NY,"$419,241.67 "
SALEM,MA,"$356,400.00 "
MIDDLE RIVER,MD,"$189,075.00 "
BROOKFIELD,WI,"$307,391.67 "
MONROE,NJ,"$346,941.67 "
BEAUFORT,SC,"$216,875.00 "
SUN CITY,AZ,"$157,150.00 "
STREAMWOOD,IL,"$184,741.67 "
MOORHEAD,MN,"$189,308.33 "
RANCHO PALOS VERDES,CA,"$1,222,175.00 "
HILLIARD,OH,"$261,275.00 "
MUNDELEIN,IL,"$221,216.67 "
NEW BERLIN,WI,"$259,166.67 "
LOS BANOS,CA,"$309,425.00 "
WHEELING,IL,"$195,241.67 "
STEVENS POINT,WI,"$151,558.33 "
SCARSDALE,NY,"$1,061,316.67 "
AMHERST,MA,"$316,025.00 "
CLEBURNE,TX,"$149,691.67 "
CLINTON,MD,"$282,566.67 "
CASSELBERRY,FL,"$205,250.00 "
GERMANTOWN,TN,"$325,016.67 "
BARTLETT,IL,"$260,900.00 "
MARLBOROUGH,MA,"$334,966.67 "
MONTCLAIR,NJ,"$604,808.33 "
MAPLEWOOD,MN,"$225,875.00 "
HILLSBOROUGH,NJ,"$345,783.33 "
SPANISH FORK,UT,"$286,908.33 "
BRISTOL,TN,"$114,266.67 "
NORTH AUGUSTA,SC,"$143,466.67 "
RIVERTON,UT,"$367,758.33 "
BOWLING GREEN,OH,"$174,308.33 "
WOODINVILLE,WA,"$774,625.00 "
WEST BABYLON,NY,"$356,866.67 "
KINSTON,NC,"$90,125.00 "
KENDALL WEST,FL,"$197,916.67 "
BELTON,TX,"$200,050.00 "
WOBURN,MA,"$443,933.33 "
MONTGOMERY,TX,"$256,225.00 "
LAKE WALES,FL,"$130,733.33 "
GREAT NECK,NY,"$1,134,891.67 "
BRIGHTON,CO,"$341,450.00 "
LEBANON,OH,"$204,675.00 "
NORTHBROOK,IL,"$408,158.33 "
OAKLEY,CA,"$469,466.67 "
PAPILLION,NE,"$235,336.36 "
NOTTINGHAM,MD,"$215,225.00 "
WAIANAE,HI,"$399,708.33 "
WENTZVILLE,MO,"$226,608.33 "
HALLANDALE,FL,"$202,058.33 "
ROCK ISLAND,IL,"$91,741.67 "
PORT HURON,MI,"$90,366.67 "
MERRILLVILLE,IN,"$137,308.33 "
SARATOGA SPRINGS,NY,"$375,011.11 "
FAIRBURN,GA,"$161,941.67 "
RINGGOLD,GA,"$170,266.67 "
GREENACRES,FL,"$162,991.67 "
RAMONA,CA,"$519,441.67 "
MIAMISBURG,OH,"$156,391.67 "
LA QUINTA,CA,"$424,975.00 "
MONTCLAIR,CA,"$413,233.33 "
PACIFICA,CA,"$1,020,725.00 "
SEARCY,AR,"$125,208.33 "
GLEN ELLYN,IL,"$356,975.00 "
SALEM,VA,"$165,300.00 "
PARK RIDGE,IL,"$377,758.33 "
TIFTON,GA,"$135,191.67 "
ARNOLD,MO,"$167,241.67 "
PLYMOUTH,MI,"$292,191.67 "
ROMEOVILLE,IL,"$177,308.33 "
BROWNSBURG,IN,"$196,650.00 "
OCOEE,FL,"$251,116.67 "
EL DORADO HILLS,CA,"$648,525.00 "
PERRYSBURG,OH,"$215,741.67 "
ATWATER,CA,"$260,400.00 "
SEATTLE HILL-SILVER FIRS,WA,"$493,241.67 "
HURST,TX,"$213,166.67 "
DUNNELLON,FL,"$145,400.00 "
AVENTURA,FL,"$293,933.33 "
ENGLEWOOD,CO,"$364,425.00 "
CALHOUN,GA,"$132,850.00 "
HANOVER PARK,IL,"$191,891.67 "
LEAVENWORTH,KS,"$138,366.67 "
HENDERSON,KY,"$127,758.33 "
NORTHGLENN,CO,"$326,408.33 "
FRIENDSWOOD,TX,"$262,141.67 "
RONKONKOMA,NY,"$341,791.67 "
FRANCONIA,VA,"$456,775.00 "
MOUNT AIRY,NC,"$107,433.33 "
LINCOLN PARK,MI,"$73,666.67 "
ROHNERT PARK,CA,"$590,908.33 "
REYNOLDSBURG,OH,"$176,108.33 "
HILTON HEAD ISLAND,SC,"$358,991.67 "
PENFIELD,NY,"$204,308.33 "
GREENFIELD,WI,"$177,625.00 "
NORTHPORT,AL,"$188,025.00 "
BRIGHTON,NY,"$192,558.33 "
HUBER HEIGHTS,OH,"$118,733.33 "
MOORPARK,CA,"$669,483.33 "
BRAINTREE,MA,"$452,925.00 "
COPPERAS COVE,TX,"$126,975.00 "
DISTRICT HEIGHTS,MD,"$217,925.00 "
PORT ANGELES,WA,"$256,308.33 "
MCMINNVILLE,OR,"$316,266.67 "
LANCASTER,NY,"$182,666.67 "
CONVERSE,TX,"$177,966.67 "
TRUMBULL,CT,"$384,541.67 "
CLAREMONT,CA,"$651,733.33 "
ALTADENA,CA,"$832,091.67 "
EAST MEADOW,NY,"$479,166.67 "
BEVERLY,MA,"$419,675.00 "
KAILUA KONA,HI,"$498,777.78 "
MYRTLE BEACH,SC,"$136,208.33 "
FORT LEE,NJ,"$489,708.33 "
SULPHUR,LA,"$169,041.67 "
EAST POINT,GA,"$132,175.00 "
SHREWSBURY,MA,"$383,575.00 "
MANITOWOC,WI,"$101,883.33 "
NILES,MI,"$97,741.67 "
ORO VALLEY,AZ,"$291,608.33 "
LEMOORE,CA,"$238,841.67 "
CEDAR FALLS,IA,"$187,583.33 "
TUCKER,GA,"$219,025.00 "
SYKESVILLE,MD,"$366,116.67 "
WILDWOOD,MO,"$359,883.33 "
EWING,NJ,"$169,675.00 "
LAKE WORTH,FL,"$179,775.00 "
YORKTOWN,NY,"$428,700.00 "
MENOMONEE FALLS,WI,"$266,191.67 "
CLIFTON PARK,NY,"$293,025.00 "
SAN JUAN CAPISTRANO,CA,"$832,300.00 "
SONOMA,CA,"$812,741.67 "
RICHFIELD,MN,"$245,250.00 "
SMITHTOWN,NY,"$480,300.00 "
AVON,IN,"$207,583.33 "
WILDOMAR,CA,"$412,125.00 "
OAKVILLE,MO,"$232,625.00 "
EAST STROUDSBURG,PA,"$140,225.00 "
BOARDMAN,OH,"$99,441.67 "
PAHRUMP,NV,"$204,925.00 "
ALLIANCE,OH,"$94,358.33 "
WEST CHICAGO,IL,"$237,858.33 "
SANTA PAULA,CA,"$455,200.00 "
REDMOND,OR,"$288,516.67 "
PINEVILLE,LA,"$161,558.33 "
HALETHORPE,MD,"$203,075.00 "
PLACERVILLE,CA,"$393,800.00 "
NATICK,MA,"$536,225.00 "
TEMPLE CITY,CA,"$793,966.67 "
CABOT,AR,"$145,016.67 "
ROSEVILLE,MN,"$254,133.33 "
FRANKLIN,WI,"$252,666.67 "
TORRINGTON,CT,"$124,416.67 "
ORANGETOWN,NY,"$496,283.33 "
COMMERCE,MI,"$264,600.00 "
LA VERGNE,TN,"$193,083.33 "
KEARNS,UT,"$260,183.33 "
TROY,OH,"$148,733.33 "
NEW LENOX,IL,"$264,533.33 "
ANDOVER,MA,"$577,466.67 "
COTTAGE GROVE,MN,"$250,575.00 "
CHELMSFORD,MA,"$386,783.33 "
SENECA,SC,"$173,308.33 "
SHELBYVILLE,TN,"$146,016.67 "
VILLA RICA,GA,"$166,675.00 "
REISTERSTOWN,MD,"$246,500.00 "
STAUNTON,VA,"$160,216.67 "
CALEXICO,CA,"$233,258.33 "
BATTLE GROUND,WA,"$354,100.00 "
SOUTH MIAMI HEIGHTS,FL,"$251,833.33 "
CLOVER,SC,"$225,925.00 "
SHELBY,NC,"$106,658.33 "
PICKERINGTON,OH,"$245,616.67 "
LOS GATOS,CA,"$1,936,750.00 "
STOW,OH,"$169,383.33 "
BARSTOW,CA,"$135,191.67 "
ROYAL PALM BEACH,FL,"$267,508.33 "
GLASTONBURY,CT,"$316,025.00 "
LORTON,VA,"$429,791.67 "
HAGERSTOWN,MD,"$126,625.00 "
UPPER ARLINGTON,OH,"$388,925.00 "
PLEASANT HILL,CA,"$735,666.67 "
SHELTON,WA,"$222,091.67 "
POWELL,OH,"$377,458.33 "
DARTMOUTH,MA,"$327,133.33 "
OAK HARBOR,WA,"$316,283.33 "
GALESBURG,IL,"$69,641.67 "
PORTAGE,IN,"$161,841.67 "
MARYSVILLE,CA,"$253,125.00 "
GARDEN CITY,KS,"$165,300.00 "
CARMEL,NY,"$374,466.67 "
GURNEE,IL,"$219,766.67 "
MOUNT VERNON,VA,"$407,291.67 "
SAPULPA,OK,"$125,258.33 "
INVER GROVE HEIGHTS,MN,"$257,958.33 "
RANDOLPH,MA,"$341,666.67 "
SAND SPRINGS,OK,"$134,933.33 "
LEANDER,TX,"$267,333.33 "
MANHATTAN BEACH,CA,"$2,372,933.33 "
WATERTOWN,MA,"$576,216.67 "
ELIZABETHTON,TN,"$106,466.67 "
BAY CITY,MI,"$59,483.33 "
PAINE FIELD-LAKE STICKNEY,WA,"$358,350.00 "
SEVERN,MD,"$342,866.67 "
GREATER CARROLLWOOD,FL,"$210,458.33 "
DANA POINT,CA,"$935,325.00 "
PULLMAN,WA,"$273,608.33 "
SHINGLE SPRINGS,CA,"$485,175.00 "
RIDGECREST,CA,"$198,250.00 "
LEAWOOD,KS,"$477,691.67 "
FLOWERY BRANCH,GA,"$235,950.00 "
CHATSWORTH,GA,"$126,283.33 "
COOPER CITY,FL,"$369,725.00 "
GALT,CA,"$355,575.00 "
ADELANTO,CA,"$216,400.00 "
WARSAW,IN,"$166,641.67 "
GOLDEN GLADES,FL,"$215,800.00 "
SAN DIMAS,CA,"$592,950.00 "
ORION,MI,"$265,025.00 "
MARANA,AZ,"$265,783.33 "
TARPON SPRINGS,FL,"$240,063.64 "
LA VERNE,CA,"$641,116.67 "
PLEASANT GROVE,UT,"$288,300.00 "
NEWBURGH,IN,"$200,225.00 "
DURANGO,CO,"$419,975.00 "
EAGLE,ID,"$440,558.33 "
FARMINGDALE,NY,"$437,691.67 "
FAIR LAWN,NJ,"$432,875.00 "
SPOTSYLVANIA,VA,"$244,358.33 "
DERRY,NH,"$255,666.67 "
EL MIRAGE,AZ,"$188,491.67 "
OAKDALE,CA,"$361,516.67 "
